Full Name,Short Code,BGA Cat,Exact point,Alt Feet ASL,Lat/Long to WGS84,Channel (MHz),Description & Remarks.,Dist  NMl,Dir, from Main Feature,Grid ref E/N  km & 2 dec,Map,Photo
Aboyne Bridge,AB1,A,Road Br over R Dee,450,57 04.213N 002 47.239W,,"S side of village where B968 crosses R. Dee, 2NMl E of airfield, under CTA base 3000",22,W,Aberdeen,35236 79796,AB1,AB1
Abbey St Bathans,ABA,D,River Junction,481,55 51.267N 002 23.525W,,Junction of two rivers at NW edge of Village.,28,E,Edinburgh,37555 66243,ABA,ABA
Abbot's Bromley,ABB,A,Reservoir/B5013 E,328,52 48.780N 001 54.594W,,"E end of B5013 crossing water, 1.5 NMl W of town.",16,WSW,Derby,40617 32394,ABB,ABB
Aboyne Dinnet,ABD,A,B9119/River Bridge,492,57 04.301N 002 53.397W,,Bridge over river Dee joining roads running N & S of river 2 NML W of gliding site.,25,W,Aberdeen,34614 79820,ABD,ABD
Abergavenny,ABE,A,A465/A40 R'bt,230,51 48.575N 003 00.587W,,"SSE side of town 600m E of river, 100m W of rly.",15,SW,Hereford,33048 21281,ABE,ABE
Aberfeldy,ABF,A,B846/River Tay,197,56 37.270N 003 52.428W,,"Bridge NW of town towards Weem village, N of A827",19,NW,Perth,28512 74927,ABF,ABF
Abingdon Airfield,ABG,A#,Main Runway Intersection,240,51 41.450N 001 19.000W,122.1,"Millitary A/F, NW side of town. Use with Caution, RAF 612 VGS Motorglider School fly most weekends & the odd week during summer months.",8,SW,Oxford,44733 19934,ABG,ABG
Abington,ABI,A,M74/A702/A73,853,55 30.206N 003 41.746W,,A702 Flyover over M74 at J13 (Abington Services). N side of village 10 NMlSSE of Lanark,26,SE,Glasgow,29299 62460,ABI,ABI
Aberfoyle,ABL,A,A821/B829,66,56 10.717N 004 23.070W,,T Junction W of town where A821 goes N towards Loch Katrine,16,WNW,Stirling,25208 70100,ABL,ABL
Abingdon Bridge,ABN,A,A415 br over River Thames,164,51 40.120N 001 16.766W,,SE side of town just S of church tower.  Small island is in middle of bridge.,5,SSE,Oxford,44993 19690,ABN,ABN
Aboyne,ABO,C#,Clubhouse,460,57 04.515N 002 50.571W,130.105,"Deeside GC site, 1.5 NMl W of Aboyne village & CTA base 3000 ft",23,W,Aberdeen,34900 79856,ABO,ABO
Ashburnham,ABP,C,Bridge,80,50 54.290N 000 24.288E,,"Road Bridge betweeen Two Lakes, South-East of  Ashburnham Place Conference Centre.",7,WNW,Hastings,56918 11446,ABP,ABP
Aberchirder,ABR,B,A97/B9023,394,57 33.512N 002 37.802W,,T junction SW side of town.  6 NMl W of Turriff,23,ESE,Lossiemouth,36240 85222,ABR,ABR
Abergavenny SW,ABS,A,1833ft Trig point,1833,51 48.025N 003 03.621W,,"2nm SW of Abergavenny, top of mountain called Blorenge.  Point intended for ridge soaring cross-countries, watch for hang gliders",18,SW,Hereford,32698 21184,ABS,ABS
Aberystwyth Pier,ABY,B,Sea end,15,52 24.980N 004 05.291W,,W side of town.  Note laser area centred 1 NMl E of pier,52,WSW,Shrewsbury,25808 28187,ABY,ABY
Alconbury,ACB,A,A1/A14,160,52 22.720N 000 15.325W,,Flyover where A14 goes over A1 4NMl NNW of Huntingdon,11,S,Peterborough,51885 27706,ACB,ACB
Accrington NE,ACC,A#,M65 J8 with A56,395,53 46.883N 002 19.748W,,Bet Accrington & Burnley.  TMA to S,23,SE,Lancaster,37841 43172,ACC,ACC
Achnasheen,ACH,A,A832/A890,510,57 34.694N 005 04.810W,,Roundabout SW side of village,19,S,Ullapool,21593 85842,ACH,ACH
Achnabourin,ACN,B,A836/B871,115,58 29.280N 004 12.768W,,T Junction 2 NML S of Bettyhill on N coast of Scotland.  150m W of River Naver,34,W,Wick,27110 95766,ACN,ACN
